City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Havre-Saint-Pierre,CA,2020-12-02 02:20:39,50.23,-63.6,46.4,100,90,13.87
232,Sundsvall,SE,2020-12-02 02:20:39,62.39,17.31,17.6,92,86,5.82
233,Sakakah,SA,2020-12-02 02:20:39,29.97,40.21,60.8,77,90,11.41
234,Aksu,CN,2020-12-02 02:20:39,41.12,80.26,19.96,90,97,5.03
235,Fairbanks,US,2020-12-02 02:15:59,64.84,-147.72,37.4,59,75,2.24
236,Sabzevar,IR,2020-12-02 02:20:39,36.21,57.68,47.93,62,76,3.04
237,Esperance,AU,2020-12-02 02:20:39,-33.87,121.9,68.0,45,78,12.75
238,Lebu,CL,2020-12-02 02:20:39,-37.62,-73.65,52.09,78,0,16.69
239,Imeni Poliny Osipenko,RU,2020-12-02 02:20:39,52.42,136.49,1.94,85,0,6.89
240,Kropotkin,RU,2020-12-02 02:20:39,45.44,40.58,39.13,83,75,14.09
241,Qasigiannguit,GL,2020-12-02 02:20:40,68.82,-51.19,17.6,78,82,9.17
242,Korop,UA,2020-12-02 02:20:40,51.57,32.96,28.99,98,100,8.9
243,Kahului,US,2020-12-02 02:19:51,20.89,-156.47,82.4,54,40,13.87
244,Saint-Georges,GD,2020-12-02 02:20:40,12.06,-61.75,78.8,88,20,8.05
245,Pevek,RU,2020-12-02 02:20:40,69.7,170.31,-9.96,88,62,7.81
246,Ginir,ET,2020-12-02 02:20:40,7.13,40.7,55.36,79,12,3.49
247,Saldanha,ZA,2020-12-02 02:20:40,-33.01,17.94,57.2,71,0,11.41
248,Baykit,RU,2020-12-02 02:20:40,61.67,96.37,-8.43,86,58,2.62
249,Lethem,GY,2020-12-02 02:20:40,3.38,-59.8,77.83,80,83,6.44
250,Namatanai,PG,2020-12-02 02:20:40,-3.67,152.43,85.89,67,100,5.08
251,Lorengau,PG,2020-12-02 02:20:41,-2.02,147.27,85.78,71,75,6.67
252,Mocajuba,BR,2020-12-02 02:20:41,-2.58,-49.51,76.35,87,11,3.11
253,Mount Isa,AU,2020-12-02 02:20:41,-20.73,139.5,104.0,20,20,6.93
254,Port Hardy,CA,2020-12-02 02:20:41,50.7,-127.42,44.6,86,20,4.7
255,Marzuq,YE,2020-12-02 02:20:41,14.4,46.47,59.0,74,0,2.93
256,Komyshnya,UA,2020-12-02 02:20:41,50.19,33.68,30.56,98,100,11.03
257,Maragogi,BR,2020-12-02 02:20:28,-9.01,-35.22,76.77,82,18,7.58
258,Cayenne,GF,2020-12-02 02:20:41,4.93,-52.33,77.0,100,0,1.12
259,Dickinson,US,2020-12-02 02:20:41,29.46,-95.05,61.0,67,75,4.7
260,Massaguet,TD,2020-12-02 02:20:41,12.48,15.44,68.0,21,0,5.82
261,Santa Maria Do Para,BR,2020-12-02 02:20:41,-1.35,-47.58,74.62,96,44,5.03
262,Salym,RU,2020-12-02 02:20:41,60.06,71.48,10.13,94,24,8.05
263,Girne,CY,2020-12-02 02:20:41,35.34,33.32,50.0,87,20,11.16
264,Laramie,US,2020-12-02 02:18:55,41.31,-105.59,19.4,95,90,16.11
265,Teya,RU,2020-12-02 02:20:42,60.38,92.63,-5.91,88,83,4.76
266,Portland,US,2020-12-02 02:20:42,45.52,-122.68,48.2,45,1,12.75
267,Valparaiso,CL,2020-12-02 02:20:42,-33.04,-71.63,53.6,87,90,6.93
268,Meulaboh,ID,2020-12-02 02:20:42,4.14,96.13,81.54,76,26,3.4
269,Paamiut,GL,2020-12-02 02:20:42,61.99,-49.67,20.62,82,5,10.56
270,Saint Anthony,US,2020-12-02 02:20:42,45.02,-93.22,28.99,68,20,3.4
271,Pisco,PE,2020-12-02 02:20:42,-13.7,-76.22,66.2,82,0,18.34
272,Slawno,PL,2020-12-02 02:20:42,54.36,16.68,31.1,92,0,6.82
273,Longyearbyen,SJ,2020-12-02 02:20:42,78.22,15.64,6.8,60,40,4.7
274,Itaporanga,BR,2020-12-02 02:20:43,-7.3,-38.15,80.56,58,58,11.25
275,Acarigua,VE,2020-12-02 02:20:43,9.55,-69.2,75.2,69,100,6.93
276,Bulungu,CD,2020-12-02 02:20:43,-4.55,18.6,69.8,95,100,1.74
277,Valdivia,CL,2020-12-02 02:20:43,-39.81,-73.25,55.4,66,75,6.93
278,Evensk,RU,2020-12-02 02:20:43,61.95,159.23,-3.69,74,5,3.51
279,Ust-Tsilma,RU,2020-12-02 02:20:43,65.44,52.15,24.44,94,99,8.66
280,Yar-Sale,RU,2020-12-02 02:20:43,66.83,70.83,17.04,94,1,18.68
281,Los Llanos De Aridane,ES,2020-12-02 02:20:43,28.66,-17.92,64.4,59,20,4.7
282,Henties Bay,NA,2020-12-02 02:20:43,-22.12,14.28,55.99,90,14,5.64
283,Georgetown,MY,2020-12-02 02:19:14,5.41,100.34,80.6,78,20,4.7
284,Wattegama,LK,2020-12-02 02:16:49,6.8,81.48,77.0,100,90,3.36
285,Betare Oya,CM,2020-12-02 02:20:44,5.6,14.08,67.41,38,95,4.27
286,Katobu,ID,2020-12-02 02:20:44,-4.94,122.53,87.3,63,96,5.55
287,Muros,ES,2020-12-02 02:20:44,42.78,-9.06,51.01,83,100,1.99
288,Skibbereen,IE,2020-12-02 02:20:44,51.55,-9.27,48.2,87,75,6.93
289,Tiarei,PF,2020-12-02 02:20:44,-17.53,-149.33,86.0,62,20,6.93
290,Itarema,BR,2020-12-02 02:20:44,-2.92,-39.92,79.47,79,13,12.26
291,Central Point,US,2020-12-02 02:20:14,42.38,-122.92,42.8,75,1,3.51
292,Peleduy,RU,2020-12-02 02:20:44,59.63,112.74,11.57,93,100,14.32
293,Praia,CV,2020-12-02 02:20:44,14.92,-23.51,73.4,78,0,8.05
294,Fortuna,US,2020-12-02 02:20:45,40.6,-124.16,46.0,88,10,2.66
295,Pochutla,MX,2020-12-02 02:20:45,15.74,-96.47,78.8,69,40,3.36
296,Vilhena,BR,2020-12-02 02:18:35,-12.74,-60.15,74.89,66,99,1.32
297,Cartagena Del Chaira,CO,2020-12-02 02:20:45,1.33,-74.84,73.49,96,100,2.24
298,Oistins,BB,2020-12-02 02:20:45,13.07,-59.53,78.8,83,20,11.41
299,Isla Vista,US,2020-12-02 02:19:46,34.41,-119.86,63.0,47,1,3.06
300,Byumba,RW,2020-12-02 02:20:45,-1.58,30.07,52.25,100,100,3.38
301,Moerai,PF,2020-12-02 02:20:45,-22.43,-151.33,80.06,75,87,7.72
302,Mattru,SL,2020-12-02 02:20:45,7.62,-11.83,74.21,96,8,0.4
303,Marovoay,MG,2020-12-02 02:20:45,-16.1,46.63,78.8,83,75,2.24
304,Pangnirtung,CA,2020-12-02 02:20:45,66.15,-65.71,2.14,82,33,3.98
