City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Pangnirtung,CA,66.15,-65.71,15.08,89,100,2.21,overcast clouds
289,Dwarka,IN,22.24,68.97,72.41,77,0,6.31,clear sky
290,Vestmannaeyjar,IS,63.44,-20.27,32.5,86,34,13.27,scattered clouds
291,Vila Franca Do Campo,PT,37.72,-25.43,57.2,71,75,5.82,broken clouds
292,Mayo,US,38.89,-76.51,45,52,90,13.87,overcast clouds
293,Zhigansk,RU,66.77,123.37,-14.93,88,100,24.23,overcast clouds
294,Gumdag,TM,39.21,54.59,32.31,83,49,25.21,scattered clouds
295,Bayonet Point,US,28.33,-82.68,60.01,72,20,7.58,few clouds
296,Shangrao,CN,28.45,117.97,44.69,83,0,4.05,clear sky
297,Ribeira Grande,PT,38.52,-28.7,59.54,72,19,9.15,few clouds
298,Magadan,RU,59.57,150.8,15.33,95,100,6.35,light snow
299,Key Largo,US,25.09,-80.45,75,80,15,3.24,few clouds
300,Shchigry,RU,51.88,36.9,20.28,79,0,8.37,clear sky
301,Nizhniy Tsasuchey,RU,50.52,115.13,6.64,85,19,13.2,few clouds
302,Maua,BR,-23.67,-46.46,68,82,90,14.99,overcast clouds
303,Srednekolymsk,RU,67.45,153.68,-25.67,86,90,1.21,overcast clouds
304,Jijiga,ET,9.35,42.8,61.21,72,1,0.49,clear sky
305,Sakakah,SA,29.97,40.21,50,87,22,3.36,few clouds
306,Bentiu,SS,9.23,29.83,72.5,20,0,5.53,clear sky
307,Monrovia,LR,6.3,-10.8,79.32,81,0,7.74,clear sky
308,Gavle,SE,60.67,17.14,41,98,100,5.79,overcast clouds
309,Bereda,ES,43.27,-7.54,39.99,100,75,5.99,broken clouds
310,Ostrovnoy,RU,68.05,39.51,37.09,90,99,22.41,overcast clouds
311,Oranjemund,NA,-28.55,16.43,59.59,94,5,4.47,clear sky
312,Bandarbeyla,SO,9.49,50.81,74.55,82,7,6.31,clear sky
313,Keroka,KE,-0.78,34.95,53.01,100,42,1.79,scattered clouds
314,Manadhoo,MV,5.77,73.38,82.18,78,100,12.28,overcast clouds
315,Santa Maria,BR,-29.68,-53.81,66.2,72,40,13.87,scattered clouds
316,Isangel,VU,-19.55,169.27,82.38,72,2,9.13,clear sky
317,Hohoe,GH,7.15,0.47,74.93,85,98,4.52,overcast clouds
318,Ola,RU,59.58,151.28,15.03,95,100,5.21,light snow
319,Gashua,NG,12.87,11.05,71.4,29,9,5.61,clear sky
320,Olga,RU,43.74,135.29,21.63,86,0,4.25,clear sky
321,Hualmay,PE,-11.1,-77.61,67.26,82,95,9.24,overcast clouds
322,Montepuez,MZ,-13.13,39,69.55,86,0,2.77,clear sky
323,Vostok,RU,46.49,135.88,6.55,94,47,3.18,scattered clouds
324,Esil,KZ,51.96,66.4,-0.71,91,0,5.14,clear sky
325,Santona,ES,43.44,-3.46,48.99,81,75,17.22,broken clouds
326,Lisakovsk,KZ,52.54,62.49,-2.58,91,0,1.9,clear sky
327,Hare Bay,CA,48.85,-54.01,46.4,100,90,2.24,light intensity shower rain
328,Beirut,LB,33.89,35.49,62.6,59,75,3.36,broken clouds
329,Malmo,SE,55.61,13,41,86,75,6.93,broken clouds
330,Gavrilov-Yam,RU,57.3,39.85,17.6,61,0,6.71,clear sky
331,Yumen,CN,40.28,97.2,14.99,93,100,4.52,overcast clouds
332,Baglung,NP,28.27,83.59,51.87,70,69,3.15,broken clouds
333,Padang,ID,-0.95,100.35,78.71,74,89,3.49,overcast clouds
334,Danjiangkou,CN,32.54,111.51,38.64,76,1,2.66,clear sky
335,Martinez,US,38.02,-122.13,62.01,44,1,3.51,clear sky
336,Arica,CL,-18.48,-70.3,66.2,82,0,8.05,clear sky
337,Kaitangata,NZ,-46.28,169.85,57,60,72,8.01,broken clouds
338,Olinda,BR,-8.01,-34.86,78.8,69,40,10.29,scattered clouds
339,Tromso,NO,69.65,18.96,32,93,75,23.04,light shower snow
340,Inongo,CD,-1.95,18.27,71.22,95,100,5.21,light rain
341,Haines Junction,CA,60.75,-137.51,12.2,85,100,8.05,light snow
342,Greymouth,NZ,-42.47,171.2,59.36,61,77,7.94,broken clouds
343,Rudbar,AF,30.15,62.6,49.62,49,61,4.92,broken clouds
344,Sarlat-La-Caneda,FR,44.89,1.22,42.01,96,95,6.06,overcast clouds
345,Tura,IN,25.52,90.22,59.32,75,0,2.51,clear sky
346,Quang Ngai,VN,15.12,108.8,67.37,92,100,7.56,light rain
347,Santa Luzia,BR,-19.77,-43.85,77,73,40,12.75,light rain
348,La Seyne-Sur-Mer,FR,43.1,5.88,45,86,0,6.93,clear sky
349,Mahon,ES,39.89,4.27,46.4,75,75,5.82,broken clouds
350,Byron Bay,AU,-28.65,153.62,90,58,93,9.17,overcast clouds
351,Pisco,PE,-13.7,-76.22,68,82,0,16.11,clear sky
352,Buenos Aires,AR,-34.61,-58.38,64,63,0,14.99,clear sky
353,Flinders,AU,-34.58,150.86,75.99,47,0,7,clear sky
354,La Cruz,MX,23.92,-106.9,68.58,52,0,9.6,clear sky
355,Faanui,PF,-16.48,-151.75,79.97,79,100,19.69,overcast clouds
356,Chapais,CA,49.78,-74.85,19.4,92,75,5.82,broken clouds
357,Barcelos,PT,41.54,-8.62,42.8,93,75,3.69,broken clouds
358,Leningradskiy,RU,69.38,178.42,7.43,87,6,4.14,clear sky
359,Zhezkazgan,KZ,47.8,67.71,-9.9,90,27,7.34,scattered clouds
360,Pervomayskoye,RU,43.92,46.71,37.38,78,97,12.48,overcast clouds
361,Shitanjing,CN,39.23,106.34,13.75,91,5,6.35,clear sky
362,Bairiki,KI,1.33,172.98,86,70,20,10.29,few clouds
363,Cockburn Town,TC,21.46,-71.14,77,78,40,4.7,scattered clouds
364,Nouadhibou,MR,20.93,-17.03,66.2,82,95,16.11,overcast clouds
365,Kieta,PG,-6.22,155.63,85.6,61,96,4.25,overcast clouds
366,Shimoda,JP,34.67,138.95,53.6,76,75,13.87,broken clouds
367,Pilar,BR,-9.6,-35.96,75.2,88,20,5.82,few clouds
368,Raga,SS,8.46,25.68,70.41,24,23,3.06,few clouds
