City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
136,Tessalit,ML,66.25,few clouds,20.2,1.01,
137,Bengkulu,ID,77.56,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
141,Georgetown,MY,80.6,scattered clouds,5.41,100.34,Cititel Penang
144,Saldanha,ZA,60.8,clear sky,-33.01,17.94,Club Mykonos Resort
145,Phan Thiet,VN,73.63,broken clouds,10.93,108.1,Blue Ocean Resort
146,San Cristobal,VE,80.6,scattered clouds,7.77,-72.22,Hotel Casino Internacional
150,Arcos,BR,73.13,light rain,-20.28,-45.54,Furnaspark Resort
152,Victoria,HK,61.0,clear sky,22.29,114.16,Shun Hing Square
155,Arraial Do Cabo,BR,75.51,broken clouds,-22.97,-42.03,Caribe Park Hotel
158,Ukiah,US,60.01,clear sky,39.15,-123.21,Hampton Inn Ukiah
159,Emerald,AU,86.0,clear sky,-23.53,148.17,The Irish Village
160,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
161,Sao Filipe,CV,75.87,few clouds,14.9,-24.5,Tortuga B&B
163,Oussouye,SN,77.0,clear sky,12.48,-16.55,La Tortue Bleue
166,Avarua,CK,84.2,overcast clouds,-21.21,-159.78,Little Polynesian Resort
168,Darnah,LY,61.43,scattered clouds,32.77,22.64,زاوية الرفاعي
173,Airai,TL,69.22,overcast clouds,-8.93,125.41,Hotel Timor
174,East London,ZA,68.36,light rain,-33.02,27.91,Tu Casa
176,Namatanai,PG,85.42,broken clouds,-3.67,152.43,Namatanai Hotel
177,Banda Aceh,ID,74.16,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
179,Ibotirama,BR,73.76,light rain,-12.19,-43.22,Serra do Rio Hotel
181,Jizan,SA,80.6,few clouds,17.33,42.67,Jazan Inn
182,Cabinda,AO,76.89,overcast clouds,-5.55,12.2,Pensão da Lulu
183,Guerrero Negro,MX,68.29,clear sky,27.98,-114.06,The Halfway Inn
184,Sesheke,ZM,69.75,moderate rain,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
186,Honiara,SB,87.8,light rain,-9.43,159.95,Heritage Park Hotel
187,Lompoc,US,62.6,clear sky,34.64,-120.46,Santa Ynez Valley Marriott
188,Port Blair,IN,79.52,clear sky,11.67,92.75,Welcomhotel Bay Island Port Blair
189,Oum Hadjer,TD,75.72,scattered clouds,13.3,19.7,Amgoulma Al Fadje
190,Lucapa,AO,65.41,light rain,-8.42,20.74,Residência Ulisses Dos Santos
192,Atuona,PF,78.64,few clouds,-9.8,-139.03,Villa Enata
193,Campoverde,PE,80.6,light rain,-8.48,-74.81,Hotel Sol de Oriente - Pucallpa
194,Kismayo,SO,79.5,broken clouds,-0.36,42.55,Agan-Hotel
195,Zahir Pir,PK,61.05,clear sky,28.81,70.52,The Secret Service Bed and Breakfast
197,Araouane,ML,71.96,few clouds,18.9,-3.53,
198,Meulaboh,ID,75.15,overcast clouds,4.14,96.13,Kost Pria
200,Odweyne,SO,73.06,clear sky,9.41,45.06,Eng Hiirey House
203,Norton,ZW,62.01,overcast clouds,-17.88,30.7,Mushandira Pamwe Hotel
205,Ahipara,NZ,68.29,scattered clouds,-35.17,173.17,Ahipara Holiday Park
212,Cabo San Lucas,MX,73.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
213,Saint-Joseph,RE,73.4,clear sky,-21.37,55.62,Hôtel L'Ecrin
215,San Rafael Del Sur,NI,84.2,scattered clouds,11.85,-86.44,Hotel Boutique Villa Maya
219,Candido De Abreu,BR,68.18,overcast clouds,-24.57,-51.33,Hotel Recanto
222,San Quintin,MX,63.64,broken clouds,30.48,-115.95,Cielito Lindo
225,Takaka,NZ,64.0,scattered clouds,-40.85,172.8,Motueka Top 10 Holiday Park
226,Kavaratti,IN,82.62,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
227,Sinnamary,GF,79.0,overcast clouds,5.38,-52.95,Lodge Takini 4
230,Dinguiraye,GN,73.71,scattered clouds,11.3,-10.72,Chez Elhadj Abdourahmane BARRY
232,Hervey Bay,AU,84.99,overcast clouds,-25.3,152.85,Shelly Bay Resort
236,Salalah,OM,73.4,clear sky,17.02,54.09,Hilton Salalah Resort
237,Ancud,CL,64.4,clear sky,-41.87,-73.82,Hotel Arena Gruesa
239,Manono,CD,66.74,broken clouds,-7.3,27.42,Hotel hewa bora
240,Vao,NC,76.06,few clouds,-22.67,167.48,Le Méridien Ile des Pins
245,Esmeraldas,BR,77.0,moderate rain,-19.76,-44.31,Ouro Minas Palace Hotel
248,Tual,ID,84.49,broken clouds,-5.67,132.75,Grand Vilia Hotel
251,Kruisfontein,ZA,62.01,scattered clouds,-34.0,24.73,Villa Petit
254,Roebourne,AU,89.82,clear sky,-20.78,117.13,ibis Styles Karratha
258,Sepuka,TZ,63.79,clear sky,-4.75,34.53,Lake View resort & Apartments
260,Mahebourg,MU,75.2,few clouds,-20.41,57.7,Hilton Mauritius Resort & Spa
261,Kattivakkam,IN,78.8,mist,13.22,80.32,The Accord Metropolitan
266,Mildura,AU,64.99,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
267,Anori,BR,77.59,overcast clouds,-3.77,-61.64,Novo Hotel 05 Irmaos
268,Moron,AR,64.0,clear sky,-34.65,-58.62,Wilton Hotel
269,Moerai,PF,79.23,overcast clouds,-22.43,-151.33,Le Manotel
271,Caravelas,BR,75.33,broken clouds,-17.71,-39.25,Pousada Verdes Mares
272,Najran,SA,66.2,clear sky,17.49,44.13,فندق حياة نجران
273,Basco,PH,76.86,overcast clouds,20.45,121.97,Nathaniel's Lodge
274,Palu,ID,83.91,light rain,-0.89,119.87,Hotel Santika Palu
275,Carnarvon,AU,73.4,broken clouds,-24.87,113.63,Hospitality Carnarvon
276,Usa River,TZ,65.3,clear sky,-3.37,36.85,Graceland Hotel
280,Kutum,SD,60.22,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
